doc_id,title,type,difficulty,ai_generated,concept_tags,source_file,url,license,date,author
doc-10-brief-tour-of-the-standard-library-28f2830678,10.Brief Tour of the Standard LibraryÂ¶,tutorial,intro,false,file_io|modules|standard_library,data/corpus_raw/scraped/3_tutorial_stdlib_html_0b886b.json,https://docs.python.org/3/tutorial/stdlib.html,PSF Documentation License,,
doc-10organizing-files-8fe90908f0,10ORGANIZING FILES,tutorial,intro,false,debugging|error_handling|exceptions|logging,data/corpus_raw/2e_chapter10_91afde.json,https://automatetheboringstuff.com/2e/chapter10/,CC BY-NC-SA 3.0,,
doc-11debugging-3032b7dc3e,11DEBUGGING,tutorial,intermediate,false,OOP|classes|objects,data/corpus_raw/2e_chapter11_7cf7f6.json,https://automatetheboringstuff.com/2e/chapter11/,CC BY-NC-SA 3.0,,
doc-1python-basics-c6c24cef47,1PYTHON BASICS,tutorial,intro,false,data_types|numbers|operators|strings|variables,data/corpus_raw/2e_chapter1_6e73d7.json,https://automatetheboringstuff.com/2e/chapter1/,CC BY-NC-SA 3.0,,
doc-2flow-control-c08fec5c50,2FLOW CONTROL,tutorial,intro,false,boolean|conditionals|control_flow|loops,data/corpus_raw/scraped/2e_chapter2_b2ea3c.json,https://automatetheboringstuff.com/2e/chapter2/,CC BY-NC-SA 3.0,,
doc-3-an-informal-introduction-to-python-b84ef065ad,3.An Informal Introduction to PythonÂ¶,tutorial,intro,false,data_types|numbers|operators|strings|variables,data/corpus_raw/scraped/3_tutorial_introduction_html_104659.json,https://docs.python.org/3/tutorial/introduction.html,PSF Documentation License,,
doc-3functions-ab49f2a8a9,3FUNCTIONS,tutorial,intro,false,arguments|functions|return_values|scope,data/corpus_raw/2e_chapter3_13880b.json,https://automatetheboringstuff.com/2e/chapter3/,CC BY-NC-SA 3.0,,
doc-4-more-control-flow-tools-d5287d137f,4.More Control Flow ToolsÂ¶,tutorial,intro,false,conditionals|control_flow|functions|loops|scope,data/corpus_raw/scraped/3_tutorial_controlflow_html_1e970d.json,https://docs.python.org/3/tutorial/controlflow.html,PSF Documentation License,,
doc-4lists-8d4c6036cb,4LISTS,tutorial,intro,false,indexing|lists|loops|slicing,data/corpus_raw/2e_chapter4_36e5ad.json,https://automatetheboringstuff.com/2e/chapter4/,CC BY-NC-SA 3.0,,
doc-5-data-structures-5b0746c54d,5.Data StructuresÂ¶,tutorial,intro,false,comprehensions|dictionaries|lists|sets|tuples,data/corpus_raw/3_tutorial_datastructures_html_d15070.json,https://docs.python.org/3/tutorial/datastructures.html,PSF Documentation License,,
doc-5dictionaries-and-structuring-data-52e7d636e1,5DICTIONARIES AND STRUCTURING DATA,tutorial,intro,false,data_structures|dictionaries|sets,data/corpus_raw/scraped/2e_chapter5_e29be8.json,https://automatetheboringstuff.com/2e/chapter5/,CC BY-NC-SA 3.0,,
doc-6-modules-f6847329c8,6.ModulesÂ¶,tutorial,intro,false,imports|modules|scope,data/corpus_raw/scraped/3_tutorial_modules_html_b24f02.json,https://docs.python.org/3/tutorial/modules.html,PSF Documentation License,,
doc-6manipulating-strings-3078131358,6MANIPULATING STRINGS,tutorial,intro,false,formatting|string_methods|strings,data/corpus_raw/scraped/2e_chapter6_bf44ee.json,https://automatetheboringstuff.com/2e/chapter6/,CC BY-NC-SA 3.0,,
doc-7-input-and-output-6350c56c82,7.Input and OutputÂ¶,tutorial,intro,false,file_io|formatting|strings,data/corpus_raw/scraped/3_tutorial_inputoutput_html_d3ac38.json,https://docs.python.org/3/tutorial/inputoutput.html,PSF Documentation License,,
doc-7pattern-matching-with-regular-expressions-14d02f7187,7PATTERN MATCHING WITH REGULAR EXPRESSIONS,tutorial,intermediate,false,pattern_matching|regex|strings,data/corpus_raw/2e_chapter7_3889e4.json,https://automatetheboringstuff.com/2e/chapter7/,CC BY-NC-SA 3.0,,
doc-8-errors-and-exceptions-4be803f400,8.Errors and ExceptionsÂ¶,tutorial,intro,false,debugging|error_handling|exceptions,data/corpus_raw/3_tutorial_errors_html_418c6e.json,https://docs.python.org/3/tutorial/errors.html,PSF Documentation License,,
doc-8input-validation-775383f118,8INPUT VALIDATION,tutorial,intro,false,file_io|pathlib|reading_writing,data/corpus_raw/scraped/2e_chapter8_88673c.json,https://automatetheboringstuff.com/2e/chapter8/,CC BY-NC-SA 3.0,,
doc-9-classes-d7daee5b86,9.ClassesÂ¶,tutorial,intermediate,false,OOP|classes|inheritance|objects|scope,data/corpus_raw/scraped/3_tutorial_classes_html_bd3d0c.json,https://docs.python.org/3/tutorial/classes.html,PSF Documentation License,,
doc-9reading-and-writing-files-715d325b82,9READING AND WRITING FILES,tutorial,intro,false,directories|file_io|os|pathlib,data/corpus_raw/scraped/2e_chapter9_0b8baa.json,https://automatetheboringstuff.com/2e/chapter9/,CC BY-NC-SA 3.0,,
doc-a-beginner-walkthrough-script-variables-input-conversions-and-simple-validation-f3e8aaa124,"A beginner walkthrough script: variables, input, conversions, and simple validation",code_sample,intro,true,input|print|reassignment|type-conversion|unpacking|variables,data/corpus_raw/variables_easy_5.json,,,,
doc-advanced-boolean-behavior-and-or-return-operands-evaluation-order-and-subtle-conditional-bugs-ad6a34ada1,"Advanced boolean behavior: and/or return operands, evaluation order, and subtle conditional bugs",reference,hard,false,all|any|boolean-ops|bugs|conditionals|precedence|short-circuit|truthiness,data/corpus_raw/conditionals_hard_3.json,https://docs.python.org/3/reference/expressions.html,PSF Documentation License (Python docs),,
doc-assignment-basics-beyond-multiple-targets-unpacking-and-what-can-be-assigned-to-5caa9f3196,"Assignment basics beyond '=': multiple targets, unpacking, and what can be assigned to",reference,intro,false,assignment|attributes|dicts|lists|unpacking|variables,data/corpus_raw/variables_easy_3.json,https://docs.python.org/3/reference/simple_stmts.html,PSF Documentation License (Python docs),,
doc-assignment-expressions-in-conditionals-compact-patterns-without-losing-clarity-2c1f405af6,Assignment expressions (:=) in conditionals: compact patterns without losing clarity,reference,hard,false,assignment-expression|conditionals|parsing|readability|walrus|while,data/corpus_raw/conditionals_hard_1.json,https://peps.python.org/pep-0572/,Public domain (PEP text),,
doc-assignment-vs-copying-objects-aliasing-shallow-copies-and-deep-copies-174c976547,"Assignment vs copying objects: aliasing, shallow copies, and deep copies",tutorial,moderate,false,aliasing|assignment|copy|deepcopy|dicts|lists|mutability|shallow-copy|variables,data/corpus_raw/variables_moderate_2.json,https://docs.python.org/3/library/copy.html,PSF Documentation License (Python docs),,
doc-augmented-assignment-how-works-evaluation-order-and-mutability-effects-bd8676a13f,"Augmented assignment: how += works, evaluation order, and mutability effects",tutorial,moderate,false,assignment|augmented-assignment|identity|lists|mutability|strings|tuples|variables,data/corpus_raw/variables_moderate_1.json,https://docs.python.org/3/reference/simple_stmts.html,PSF Documentation License (Python docs),,
doc-building-a-loop-pipeline-parse-tokens-transform-streams-and-produce-a-report-3d5ba4846e,"Building a loop pipeline: parse tokens, transform streams, and produce a report",tutorial,hard,true,generators|itertools|loops|parsing|pipelines|single-pass,data/corpus_raw/loops_hard_5.json,,,,
doc-built-in-exceptions-2d19674db7,Built-in ExceptionsÂ¶,tutorial,intro,false,debugging|error_handling|exceptions,data/corpus_raw/3_library_exceptions_html_ad80a0.json,https://docs.python.org/3/library/exceptions.html,PSF Documentation License,,
doc-built-in-functions-5009a63261,Built-in FunctionsÂ¶,tutorial,intro,false,built_in_functions|lists|sorting|strings,data/corpus_raw/scraped/3_library_functions_html_af4c85.json,https://docs.python.org/3/library/functions.html,PSF Documentation License,,
